"source.ip: Descending","dest.ip: Descending","dest.port: Descending",Count
"172.30.20.40","192.168.93.105",55556,14
"172.30.20.40","192.168.93.105",55558,16
"172.30.20.40","192.168.93.105",55837,20
"172.30.20.40","192.168.93.105",55839,10
"172.30.20.40","192.168.93.105",55842,10
"172.30.20.40","192.168.93.105",55844,10
"172.30.20.40","192.168.93.105",55846,10
"172.30.20.40","192.168.93.105",55847,10
"172.30.20.40","192.168.93.105",55852,12
"172.30.20.40","192.168.93.105",56027,11
"172.30.20.40","192.168.93.105",56096,16
"172.30.20.40","192.168.93.105",56161,11
"172.30.20.40","192.168.93.105",56177,10
"172.30.20.40","192.168.93.105",56184,6
"172.30.20.40","192.168.93.105",56190,6
"172.30.20.40","192.168.93.105",56194,5
"172.30.20.40","192.168.93.105",56199,5
"172.30.20.40","192.168.93.105",56206,5
"172.30.20.40","192.168.93.105",56212,5
"172.30.20.40","192.168.93.105",56216,5
"172.30.20.40","192.168.93.105",56221,5
"172.30.20.40","192.168.93.105",56227,5
"172.30.20.40","192.168.93.105",56230,4
"172.30.20.40","192.168.93.105",56234,4
"172.30.20.40","192.168.93.105",56236,4
"172.30.20.40","192.168.93.105",56241,4
"172.30.20.40","192.168.93.105",56244,4
"172.30.20.40","192.168.93.105",56249,4
"172.30.20.40","192.168.93.105",56252,4
"172.30.20.40","192.168.93.105",56258,10
"172.30.20.40","192.168.93.105",56261,6
"172.30.20.40","192.168.93.105",56271,6
"172.30.20.40","192.168.93.105",56275,6
"172.30.20.40","192.168.93.105",56279,6
"172.30.20.40","192.168.93.105",56283,6
"172.30.20.40","192.168.93.105",56286,6
"172.30.20.40","192.168.93.105",56291,6
"172.30.20.40","192.168.93.105",56294,5
"172.30.20.40","192.168.93.105",56299,11
"172.30.20.40","192.168.93.105",56347,11
"172.30.20.40","192.168.93.105",56430,11
"172.30.20.40","192.168.93.105",56438,16
"172.30.20.40","192.168.93.105",56539,12
"172.30.20.40","192.168.93.105",56602,10
"172.30.20.40","192.168.93.105",56613,12
"172.30.20.40","192.168.93.105",56625,11
"172.30.20.40","192.168.93.105",56634,10
"172.30.20.40","192.168.93.105",56640,12
"172.30.20.40","192.168.93.105",56657,11
"172.30.20.40","192.168.93.105",56879,10
"172.30.20.40","192.168.93.105",57248,12
"172.30.20.40","192.168.93.105",57802,11
"172.30.20.40","192.168.93.105",58164,10
"172.30.20.40","192.168.93.105",58428,12
"172.30.20.40","192.168.93.105",58522,11
"172.30.20.40","192.168.93.105",58767,16
"172.30.20.40","192.168.93.105",58878,12
"172.30.20.40","192.168.93.105",58893,11
"172.30.20.40","192.168.93.105",58908,10
"172.30.20.40","192.168.93.105",58921,12
"172.30.20.40","192.168.93.105",58930,11
"172.30.20.40","192.168.93.105",58937,10
"172.30.20.40","192.168.93.105",58950,12
"172.30.20.40","192.168.93.105",58958,11
"172.30.20.40","192.168.93.105",58969,10
"172.30.20.40","192.168.93.105",58976,12
"172.30.20.40","192.168.93.105",58987,11
"172.30.20.40","192.168.93.105",58998,10
"172.30.20.40","192.168.93.105",59013,12
"172.30.20.40","192.168.93.105",59021,11
"172.30.20.40","192.168.93.105",59032,10
"172.30.20.40","192.168.93.105",59036,12
"172.30.20.40","192.168.93.105",59046,11
"172.30.20.40","192.168.93.105",59065,10
"172.30.20.40","192.168.93.105",59077,12
"172.30.20.40","192.168.93.105",59097,11
"172.30.20.40","192.168.93.105",59107,10
"172.30.20.40","192.168.93.105",59116,12
"172.30.20.40","192.168.93.105",59128,11
"172.30.20.40","192.168.93.105",59137,10
"172.30.20.40","192.168.93.105",59145,12
"172.30.20.40","192.168.93.105",59156,11
"172.30.20.40","192.168.93.105",59169,10
"172.30.20.40","192.168.93.105",59176,12
"172.30.20.40","192.168.93.105",59191,11
"172.30.20.40","192.168.93.105",59204,10
"172.30.20.40","192.168.93.105",59216,12
"172.30.20.40","192.168.93.105",59226,11
"172.30.20.40","10.127.253.18",2049,867
"172.30.20.40","172.30.20.160",1521,600
"172.30.20.40","172.0.1.237",53347,6
"172.30.20.40","172.0.1.237",53348,6
"172.30.20.40","172.0.1.237",53349,6
"172.30.20.40","172.0.1.237",53350,6
"172.30.20.40","172.0.1.237",53352,6
"172.30.20.40","172.0.1.237",53354,6
"172.30.20.40","172.0.1.237",54400,5
"172.30.20.40","172.0.1.237",54403,5
"172.30.20.40","172.0.1.237",54404,5
"172.30.20.40","172.0.1.237",54408,5
"172.30.20.40","172.0.1.237",54409,5
"172.30.20.40","172.0.1.237",54410,5
"172.30.20.40","172.0.1.237",54436,4
"172.30.20.40","172.0.1.237",54441,4
"172.30.20.40","172.0.1.237",54447,4
"172.30.20.40","172.0.1.237",54459,4
"172.30.20.40","172.0.1.237",54513,5
"172.30.20.40","172.0.1.237",54543,4
"172.30.20.40","172.0.1.237",54565,5
"172.30.20.40","172.0.1.237",54568,5
"172.30.20.40","172.0.1.237",54654,5
"172.30.20.40","172.0.1.237",54687,6
"172.30.20.40","172.0.1.237",54711,6
"172.30.20.40","172.0.1.237",54728,4
"172.30.20.40","172.0.1.237",54740,5
"172.30.20.40","172.0.1.237",54775,6
"172.30.20.40","172.0.1.237",54783,10
